,st_fips,st_year,st_state,st_stateabb,st_total,st_dem,st_rep,st_repshare,st_demshare,st_income,st_inc10k
201,2,1984,Alaska,AK,208,62,138,0.6899999976158142,0.3100000023841858,29451.59375,2.945159435272217
202,4,1984,Arizona,AZ,1026,334,681,0.6709359884262085,0.3290640413761139,19459.224609375,1.9459224939346313
203,5,1984,Arkansas,AR,884,339,535,0.6121281385421753,0.3878718614578247,15963.3291015625,1.5963329076766968
204,6,1984,California,CA,9505,3923,5467,0.5822151303291321,0.4177848696708679,24152.6328125,2.4152631759643555
205,8,1984,Colorado,CO,1295,455,822,0.6436961889266968,0.3563038408756256,22316.34375,2.2316343784332275
206,9,1984,Connecticut,CT,1467,570,891,0.6098562479019165,0.3901437222957611,26535.580078125,2.6535580158233643
207,10,1984,Delaware,DE,255,102,152,0.5984252095222473,0.4015747904777527,22337.486328125,2.2337486743927
208,12,1984,Florida,FL,4180,1449,2730,0.6532663106918335,0.3467336595058441,20812.279296875,2.081228017807007
209,13,1984,Georgia,GA,1776,707,1069,0.6019144058227539,0.3980855941772461,18436.8828125,1.8436882495880127
210,15,1984,Hawaii,HI,336,147,185,0.5572289228439331,0.4427710771560669,22553.431640625,2.255343198776245
211,16,1984,Idaho,ID,411,109,298,0.7321867346763611,0.2678132653236389,16722.912109375,1.6722911596298218
212,17,1984,Illinois,IL,4819,2086,2707,0.5647819638252258,0.43521803617477417,22459.8046875,2.2459805011749268
213,18,1984,Indiana,IN,2233,841,1377,0.6208295822143555,0.37917041778564453,18820.44921875,1.8820449113845825
214,19,1984,Iowa,IA,1320,606,703,0.5370512008666992,0.46294882893562317,19459.224609375,1.9459224939346313
215,20,1984,Kansas,KS,1022,333,677,0.6702970266342163,0.3297029733657837,20727.712890625,2.0727713108062744
216,21,1984,Kentucky,KY,1369,540,822,0.6035242080688477,0.39647576212882996,16810.498046875,1.6810498237609863
217,22,1984,Louisiana,LA,1707,652,1037,0.6139727830886841,0.3860272467136383,17621.42578125,1.762142539024353
218,23,1984,Maine,ME,553,215,337,0.6105072498321533,0.3894927501678467,17648.607421875,1.76486074924469
219,24,1984,Maryland,MD,1676,788,880,0.5275779366493225,0.4724220633506775,23864.203125,2.386420249938965
220,25,1984,Massachusetts,MA,2559,1240,1311,0.5139161348342896,0.48608389496803284,23743.39453125,2.3743393421173096
221,26,1984,Michigan,MI,3802,1530,2252,0.5954521298408508,0.40454787015914917,20614.455078125,2.061445474624634
222,27,1984,Minnesota,MN,2084,1036,1033,0.49927499890327454,0.5007249712944031,21670.01953125,2.167001962661743
223,28,1984,Mississippi,MS,941,352,582,0.6231263279914856,0.3768736720085144,14220.6669921875,1.4220666885375977
224,29,1984,Missouri,MO,2123,849,1274,0.600094199180603,0.399905800819397,19777.85546875,1.977785587310791
225,30,1984,Montana,MT,384,147,232,0.6121371984481812,0.38786280155181885,17677.298828125,1.7677298784255981
226,31,1984,Nebraska,NE,652,188,460,0.709876537322998,0.29012346267700195,19795.978515625,1.979597806930542
227,32,1984,Nevada,NV,287,92,189,0.6725978851318359,0.32740214467048645,22074.7265625,2.207472562789917
228,33,1984,New Hampshire,NH,389,120,267,0.6899224519729614,0.3100775182247162,21967.509765625,2.1967508792877197
229,34,1984,New Jersey,NJ,3218,1261,1934,0.6053208112716675,0.3946791887283325,25064.736328125,2.5064735412597656
230,35,1984,New Mexico,NM,514,202,307,0.6031433939933777,0.3968565762042999,17086.84765625,1.7086848020553589
231,36,1984,New York,NY,6807,3120,3665,0.5401621460914612,0.4598378837108612,23932.158203125,2.3932158946990967
232,37,1984,North Carolina,NC,2175,824,1346,0.6202765107154846,0.3797234892845154,17882.673828125,1.7882673740386963
233,38,1984,North Dakota,ND,309,104,200,0.6578947305679321,0.34210526943206787,18661.888671875,1.866188883781433
234,39,1984,Ohio,OH,4548,1825,2679,0.5948046445846558,0.4051953852176666,20368.30859375,2.0368309020996094
235,40,1984,Oklahoma,OK,1256,385,862,0.6912590265274048,0.3087409734725952,19226.66796875,1.9226667881011963
236,41,1984,Oregon,OR,1227,536,686,0.5613747835159302,0.4386252164840698,19453.18359375,1.945318341255188
237,42,1984,Pennsylvania,PA,4845,2228,2584,0.5369908809661865,0.46300914883613586,20470.994140625,2.0470993518829346
238,44,1984,Rhode Island,RI,410,197,212,0.5183374285697937,0.4816626012325287,20696.0,2.0696001052856445
239,45,1984,South Carolina,SC,969,344,616,0.6416666507720947,0.3583333194255829,16528.109375,1.6528109312057495
240,46,1984,South Dakota,SD,318,116,200,0.6329113841056824,0.3670886158943176,17669.748046875,1.7669748067855835
241,47,1984,Tennessee,TN,1712,712,990,0.5816686153411865,0.4183313846588135,17388.869140625,1.7388869524002075
242,48,1984,Texas,TX,5398,1949,3433,0.6378669738769531,0.3621330261230469,20342.63671875,2.0342636108398438
243,49,1984,Utah,UT,630,155,469,0.7516025900840759,0.24839743971824646,17262.01953125,1.7262020111083984
